Date/Time,Power Produced (W)
2019-04-05 06:05:00 +0530,0
2019-04-05 06:10:00 +0530,0
2019-04-05 06:15:00 +0530,0
2019-04-05 06:20:00 +0530,0
2019-04-05 06:25:00 +0530,13
2019-04-05 06:30:00 +0530,13
2019-04-05 06:35:00 +0530,13
2019-04-05 06:40:00 +0530,23
2019-04-05 06:45:00 +0530,24
2019-04-05 06:50:00 +0530,24
2019-04-05 06:55:00 +0530,52
2019-04-05 07:00:00 +0530,53
2019-04-05 07:05:00 +0530,53
2019-04-05 07:10:00 +0530,86
2019-04-05 07:15:00 +0530,87
2019-04-05 07:20:00 +0530,87
2019-04-05 07:25:00 +0530,129
2019-04-05 07:30:00 +0530,131
2019-04-05 07:35:00 +0530,131
2019-04-05 07:40:00 +0530,163
2019-04-05 07:45:00 +0530,165
2019-04-05 07:50:00 +0530,165
2019-04-05 07:55:00 +0530,203
2019-04-05 08:00:00 +0530,204
2019-04-05 08:05:00 +0530,204
2019-04-05 08:10:00 +0530,290
2019-04-05 08:15:00 +0530,297
2019-04-05 08:20:00 +0530,297
2019-04-05 08:25:00 +0530,357
2019-04-05 08:30:00 +0530,361
2019-04-05 08:35:00 +0530,361
2019-04-05 08:40:00 +0530,413
2019-04-05 08:45:00 +0530,418
2019-04-05 08:50:00 +0530,418
2019-04-05 08:55:00 +0530,454
2019-04-05 09:00:00 +0530,458
2019-04-05 09:05:00 +0530,458
2019-04-05 09:10:00 +0530,519
2019-04-05 09:15:00 +0530,525
2019-04-05 09:20:00 +0530,525
2019-04-05 09:25:00 +0530,583
2019-04-05 09:30:00 +0530,589
2019-04-05 09:35:00 +0530,589
2019-04-05 09:40:00 +0530,634
2019-04-05 09:45:00 +0530,638
2019-04-05 09:50:00 +0530,638
2019-04-05 09:55:00 +0530,680
2019-04-05 10:00:00 +0530,682
2019-04-05 10:05:00 +0530,682
2019-04-05 10:10:00 +0530,712
2019-04-05 10:15:00 +0530,714
2019-04-05 10:20:00 +0530,714
2019-04-05 10:25:00 +0530,747
2019-04-05 10:30:00 +0530,748
2019-04-05 10:35:00 +0530,748
2019-04-05 10:40:00 +0530,772
2019-04-05 10:45:00 +0530,773
2019-04-05 10:50:00 +0530,773
2019-04-05 10:55:00 +0530,794
2019-04-05 11:00:00 +0530,793
2019-04-05 11:05:00 +0530,793
2019-04-05 11:10:00 +0530,803
2019-04-05 11:15:00 +0530,803
2019-04-05 11:20:00 +0530,803
2019-04-05 11:25:00 +0530,823
2019-04-05 11:30:00 +0530,827
2019-04-05 11:35:00 +0530,827
2019-04-05 11:40:00 +0530,835
2019-04-05 11:45:00 +0530,836
2019-04-05 11:50:00 +0530,836
2019-04-05 11:55:00 +0530,847
2019-04-05 12:00:00 +0530,848
2019-04-05 12:05:00 +0530,848
2019-04-05 12:10:00 +0530,848
2019-04-05 12:15:00 +0530,848
2019-04-05 12:20:00 +0530,848
2019-04-05 12:25:00 +0530,863
2019-04-05 12:30:00 +0530,860
2019-04-05 12:35:00 +0530,860
2019-04-05 12:40:00 +0530,879
2019-04-05 12:45:00 +0530,880
